icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
673,"BERRY, George Leonard",Senate,Democrat,Right,0.037,0.999,TN,1882,1948,missionary,South,4,3,0.75,75,75,1,X,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10330,"WOOD, John Travers",House,Republican,Right,0.617,0.284,ID,1878,1954,missionary,Rockies,12,9,0.75,82,82,1,X,X,X,X,X,X,X,X,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10145,"WILLIAMS, George Short",House,Republican,Right,0.542,-0.201,DE,1877,1961,missionary,South,31,23,0.741935484,76,76,1,X,X,0.741935484,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
85,"ALEXANDER, John Grant",House,Republican,Center,0.144,-0.437,MN,1893,1971,lost,Midwest,27,20,0.740740741,76,76,1,X,X,0.740740741,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8269,"SCHNEIDER, George John",House,Independent,Right,0.116,0.687,WI,1877,1939,missionary,Midwest,23,17,0.739130435,68,75,2,0.5,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8619,"SMITH, Frederick Cleveland",House,Republican,Right,0.92,-0.085,OH,1884,1956,lost,Midwest,134,99,0.73880597,76,81,6,X,X,0.818181818,0.55,0.666666667,0.826086957,0.928571429,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7915,"RISK, Charles Francis",House,Republican,Center,0.11,-0.854,RI,1897,1943,lost,North,19,14,0.736842105,74,76,2,0.5,X,0.764705882,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4962,"JOHNSON, Hiram Warren",Senate,Republican,Right,0.294,0.714,CA,1866,1945,missionary,West,142,104,0.732394366,65,79,6,0.470588235,0.285714286,0.852459016,0.641025641,0.9,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6954,"NORBECK, Peter",Senate,Republican,Right,0.281,0.852,SD,1870,1936,missionary,Midwest,11,8,0.727272727,67,74,1,0.727272727,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9457,"TRANSUE, Andrew Jackson",House,Democrat,Center,-0.219,0.082,MI,1903,1995,greatest,Midwest,11,8,0.727272727,75,75,1,X,0.727272727,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
